IDs,"metNames",chebi,kegg,mean,max,min,concs
YMDB01990,"PC(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))",CHEBI:89563,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB01991,"PC(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))",CHEBI:89565,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB01992,"PC(18:3(6Z,9Z,12Z)/22:0)",CHEBI:89529,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB01993,"PC(18:3(6Z,9Z,12Z)/22:1(13Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB01994,"PC(18:3(6Z,9Z,12Z)/22:2(13Z,16Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB01995,"PC(18:3(6Z,9Z,12Z)/24:1(15Z))",CHEBI:86422,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB01996,"PC(18:3(6Z,9Z,12Z)/P-16:0)",CHEBI:89523,C00157,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB01997,"PC(18:3(6Z,9Z,12Z)/P-18:0)",CHEBI:89533,C00157,1,1,1,1 +/- 0 uM
YMDB01998,"PC(18:3(6Z,9Z,12Z)/P-18:1(11Z))",CHEBI:89534,C00157,1,1,1,1 +/- 0 uM
YMDB01999,"PC(18:3(6Z,9Z,12Z)/P-18:1(9Z))",CHEBI:89535,C00157,1,1,1,1 +/- 0 uM
YMDB02000,"PC(18:3(9Z,12Z,15Z)/16:0)",,C00157,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02001,"PC(18:3(9Z,12Z,15Z)/16:1(9Z))",CHEBI:89443,C00157,0.019,0.01995,0.01805,0.019 +/- 0.00095 uM
YMDB02002,"PC(18:3(9Z,12Z,15Z)/18:0)",CHEBI:89438,C00157,1,1,1,1 +/- 0 uM
YMDB02003,"PC(18:3(9Z,12Z,15Z)/18:1(11Z))",,C00157,1,1,1,1 +/- 0 uM
YMDB02004,"PC(18:3(9Z,12Z,15Z)/18:1(9Z))",CHEBI:86127,C00157,1,1,1,1 +/- 0 uM
